epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3590.4,0.73562,0.52185,0.87211,0.99438,1,0.995,0.74894,0.94235,0.56081,0.92696,0.0011684,0.0011684,0.0011684
44,3663.92,0.78043,0.53158,0.85044,1,0.9961,0.995,0.73426,0.94427,0.5371,0.92794,0.0011486,0.0011486,0.0011486
45,3737.07,0.7107,0.49842,0.85903,0.99768,0.98305,0.99452,0.76003,0.88297,0.53117,0.93273,0.0011288,0.0011288,0.0011288
46,3809.23,0.81351,0.53307,0.86603,0.99517,0.98305,0.9917,0.74342,0.85507,0.54583,0.9251,0.001109,0.001109,0.001109
47,3885.67,0.76072,0.49959,0.86094,1,0.98217,0.99276,0.7181,0.92701,0.52383,0.919,0.0010892,0.0010892,0.0010892
48,3955.52,0.77964,0.51895,0.86309,0.99703,1,0.995,0.74092,0.947,0.53438,0.95415,0.0010694,0.0010694,0.0010694
49,4026.61,0.79229,0.50946,0.87916,1,0.96574,0.99338,0.75286,0.90864,0.5441,0.91914,0.0010496,0.0010496,0.0010496
50,4133.57,0.77994,0.49184,0.86184,1,0.96545,0.99103,0.74584,0.87607,0.57163,0.93617,0.0010298,0.0010298,0.0010298
51,4204.13,0.74315,0.50017,0.86317,0.99969,0.9661,0.99142,0.74051,0.8951,0.55271,0.93796,0.00101,0.00101,0.00101
52,4275.85,0.69332,0.48106,0.83831,1,0.96498,0.99355,0.7578,0.8811,0.52506,0.94551,0.0009902,0.0009902,0.0009902
53,4346.22,0.7105,0.49587,0.85852,0.97545,1,0.9945,0.75082,0.9136,0.52037,0.94477,0.0009704,0.0009704,0.0009704
54,4419.84,0.68979,0.47588,0.83818,0.99616,1,0.995,0.76319,0.88686,0.51474,0.93271,0.0009506,0.0009506,0.0009506
55,4487.51,0.67412,0.46676,0.86509,0.99702,1,0.995,0.75568,0.89014,0.50275,0.93516,0.0009308,0.0009308,0.0009308
56,4553.76,0.70716,0.48194,0.85011,0.96516,1,0.9945,0.76969,0.88422,0.47311,0.91832,0.000911,0.000911,0.000911
57,4623.01,0.72006,0.4646,0.85485,1,0.99345,0.995,0.78224,0.89442,0.48822,0.92093,0.0008912,0.0008912,0.0008912
58,4693.57,0.68135,0.45179,0.85241,1,0.99849,0.995,0.76827,0.86643,0.47268,0.90735,0.0008714,0.0008714,0.0008714
59,4764.44,0.71983,0.46727,0.86989,0.99651,1,0.995,0.75214,0.92866,0.50084,0.93432,0.0008516,0.0008516,0.0008516
60,4835.34,0.72847,0.47248,0.86452,0.9975,1,0.995,0.77849,0.85306,0.47184,0.91182,0.0008318,0.0008318,0.0008318
61,4908.4,0.69251,0.45511,0.82991,0.9977,1,0.995,0.76398,0.90841,0.48637,0.93249,0.000812,0.000812,0.000812
62,4986.6,0.69349,0.46693,0.84263,0.99252,1,0.995,0.75466,0.91064,0.48211,0.93862,0.0007922,0.0007922,0.0007922
63,5071.68,0.65779,0.45279,0.84807,1,0.99121,0.995,0.77685,0.8672,0.48236,0.9154,0.0007724,0.0007724,0.0007724
64,5157.23,0.6471,0.44074,0.84585,1,0.99816,0.995,0.77241,0.87196,0.48661,0.91568,0.0007526,0.0007526,0.0007526
65,5241.36,0.67,0.45463,0.83291,1,0.99945,0.995,0.76973,0.88256,0.47829,0.91745,0.0007328,0.0007328,0.0007328
66,5319.72,0.61806,0.43837,0.84236,1,0.9989,0.995,0.76595,0.97568,0.48072,0.93691,0.000713,0.000713,0.000713
67,5396.56,0.62345,0.42695,0.85621,1,0.99957,0.995,0.79386,0.891,0.46387,0.91636,0.0006932,0.0006932,0.0006932
68,5469.44,0.63332,0.42502,0.82425,1,0.99806,0.995,0.76787,0.89746,0.48209,0.90975,0.0006734,0.0006734,0.0006734
69,5541.13,0.65939,0.43074,0.8479,0.99757,0.98305,0.99437,0.78339,0.85472,0.47741,0.91208,0.0006536,0.0006536,0.0006536
70,5622.1,0.6288,0.42254,0.82301,0.99467,0.98305,0.99408,0.76988,0.91694,0.49741,0.91737,0.0006338,0.0006338,0.0006338
71,5706.74,0.64513,0.41303,0.8394,0.99595,0.98305,0.99381,0.77325,0.90689,0.47294,0.92044,0.000614,0.000614,0.000614
72,5783.68,0.60578,0.41446,0.84792,0.9956,0.98305,0.99128,0.78224,0.8891,0.46847,0.90591,0.0005942,0.0005942,0.0005942
73,5873.63,0.59994,0.40735,0.81789,0.99812,0.98305,0.99368,0.77067,0.90324,0.46526,0.91731,0.0005744,0.0005744,0.0005744
74,5948.27,0.63953,0.42544,0.85617,0.99849,0.98305,0.99437,0.77208,0.88079,0.4626,0.92219,0.0005546,0.0005546,0.0005546
75,6018.57,0.60618,0.42043,0.81489,0.99874,0.98305,0.99422,0.78357,0.83716,0.43708,0.9091,0.0005348,0.0005348,0.0005348
76,6097.89,0.59067,0.40648,0.82764,1,0.98202,0.99422,0.76705,0.90517,0.47676,0.94001,0.000515,0.000515,0.000515
77,6174.39,0.63018,0.4234,0.83594,0.98099,0.98305,0.993,0.77212,0.89373,0.47846,0.9198,0.0004952,0.0004952,0.0004952
78,6264.95,0.61529,0.40853,0.82344,0.97898,0.98305,0.99354,0.77458,0.88516,0.46325,0.91948,0.0004754,0.0004754,0.0004754
79,6351.77,0.63483,0.43822,0.82561,0.98328,0.99664,0.99483,0.75362,0.90423,0.46045,0.93912,0.0004556,0.0004556,0.0004556
80,6424.42,0.58655,0.40667,0.83577,0.99738,0.98305,0.99467,0.76035,0.92215,0.45932,0.92523,0.0004358,0.0004358,0.0004358
81,6505.04,0.58318,0.40113,0.82572,1,0.99822,0.995,0.77271,0.89342,0.46628,0.91509,0.000416,0.000416,0.000416
82,6579.32,0.56523,0.39692,0.83381,1,0.99862,0.995,0.77727,0.86038,0.45053,0.91209,0.0003962,0.0003962,0.0003962
83,6652.21,0.57058,0.39832,0.83977,1,0.99861,0.995,0.79019,0.84367,0.44393,0.90465,0.0003764,0.0003764,0.0003764
84,6730.58,0.59757,0.40418,0.8169,0.99831,0.98305,0.99483,0.7783,0.88416,0.44126,0.91613,0.0003566,0.0003566,0.0003566
85,6802.14,0.60923,0.40415,0.83321,1,0.99779,0.995,0.77377,0.89252,0.43825,0.91239,0.0003368,0.0003368,0.0003368
86,6873.83,0.54724,0.38858,0.82643,1,0.99816,0.995,0.78056,0.88692,0.43611,0.91009,0.000317,0.000317,0.000317
87,6948.6,0.52897,0.38554,0.82652,0.99875,1,0.995,0.76615,0.9253,0.4614,0.92403,0.0002972,0.0002972,0.0002972
88,7024.11,0.56457,0.38954,0.83428,0.97974,1,0.99417,0.76187,0.91054,0.44125,0.92225,0.0002774,0.0002774,0.0002774
89,7094.28,0.55502,0.37626,0.81724,0.97809,1,0.99417,0.76803,0.88222,0.43377,0.91456,0.0002576,0.0002576,0.0002576
90,7166.68,0.55658,0.37752,0.80855,0.98332,0.99906,0.99417,0.78059,0.8641,0.43623,0.9072,0.0002378,0.0002378,0.0002378
91,7239.81,0.51969,0.40233,0.83843,0.97825,0.98305,0.99384,0.77025,0.88072,0.44848,0.91155,0.000218,0.000218,0.000218
92,7314.63,0.53207,0.39264,0.81183,0.97909,0.98305,0.99313,0.76508,0.89513,0.44966,0.91597,0.0001982,0.0001982,0.0001982
93,7390.23,0.48514,0.37016,0.80956,0.97979,0.98305,0.99275,0.75743,0.90597,0.45006,0.92276,0.0001784,0.0001784,0.0001784
94,7464.4,0.50701,0.38355,0.80362,0.99881,0.94915,0.99263,0.76074,0.89716,0.44751,0.91998,0.0001586,0.0001586,0.0001586
95,7536.76,0.49332,0.36936,0.81768,0.99896,0.94915,0.99143,0.75883,0.88076,0.45044,0.91091,0.0001388,0.0001388,0.0001388
96,7607.21,0.48932,0.38147,0.78532,0.99794,0.98305,0.99228,0.76647,0.88627,0.44264,0.91336,0.000119,0.000119,0.000119
97,7678.39,0.47381,0.3671,0.8307,0.99637,0.98305,0.99228,0.76907,0.88099,0.44542,0.91046,9.92e-05,9.92e-05,9.92e-05
98,7749.07,0.48344,0.36561,0.8077,0.99712,0.98305,0.99256,0.76918,0.87815,0.44365,0.90885,7.94e-05,7.94e-05,7.94e-05
99,7815.59,0.47165,0.34651,0.81939,0.99725,0.98305,0.99228,0.76159,0.88584,0.4429,0.91198,5.96e-05,5.96e-05,5.96e-05
100,7882.83,0.46869,0.35915,0.80875,0.99718,0.98305,0.99247,0.75994,0.88692,0.4387,0.9142,3.98e-05,3.98e-05,3.98e-05
